Nama_Tempat,Photo_URL,Gmaps_Link,Price_Desc,Facilities
Kuncen Camp Ground,https://www.gemasulawesi.com/storage/photos/agrowisata-kuncen-polobogo-getasan-semarang-tawarkan-camping-ground-dengan-rumput-hijaunya-bikin-betah.jpeg,https://maps.app.goo.gl/Wpo7JYCyeWjy4Enk8,,"Kolam Renang
WiFi
Mingguan/Bulanan
Perlengkapan BBQ
Area Outbound
Dapur
Teras atau Balkon
Pembuat Kopi & Teh
Ruang Tamu
ATM/Bank
Kolam Renang
Restoran
Parkir (Gratis)
Hewan Peliharaan Tidak Diperbolehkan
Area Outbound
Fasilitas BBQ
Makanan Halal Tersedia
Kafe atau Kedai Kopi
Bebas Rokok
Shower
Patio atau teras"
Camping Umbul Sidomukti,https://s-light.tiket.photos/t/01E25EBZS3W0FY9GTG6C42E1SE/t_htl-dskt/tix-hotel/images-web/2023/04/02/d14c0b48-5c23-4095-953f-40f22fa8f3ce-1680418527367-0901ca7965c84ebd2748980094a38499.jpg,https://maps.app.goo.gl/iR9WGZWpJwYX6zDy5,,
Pinusan Nglimut,https://i.ytimg.com/vi/1xVtD3Scmac/hq720.jpg?sqp=-oaymwEhCK4FEIIDSFryq4qpAxMIARUAAAAAGAElAADIQj0AgKJD&rs=AOn4CLCRsSpBwh2GfpEG89RF5ZmkH_8IbA,https://maps.app.goo.gl/FG9Z3dJT9RhTDA9S7,,
Camp Ground,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzB9TM5XTnE06XCJdkuvqiSiNbwjpL9JjVXvgc8chkptCUVvKxQ1u3G_7i0_qOdcORxRJ8hv0MRZMZmrR5iP-N-rGODFsHGXlAPVba9qwaxWQStCt3O95a01VbtuLDYvQg9MPEXrw=s680-w680-h510-rw,https://maps.app.goo.gl/pC4yL1LoVmkU5X7R7,,
Jogja Camp,https://lh3.googleusercontent.com/p/AF1QipNfw9S-6g76R1Gl5yUwSQUbwFGjmNLB5_9g7Uch=s680-w680-h510-rw,https://maps.app.goo.gl/bg6D8DpVBopxywyS8,,
Camping Ground Bukit Klangon,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy6dyT25GCe8ez52MClP9nDXtAaUZEnQkTBVM4kSAOji3Z1KU89TL4IN0tXRvZ-ZmamlwaL3KwfLu4hZw4d4JusJ9EIUJYt0OrpxXLXGlozqGda3o0n0qEBA5pFGcZJSNZY-Zeu=s680-w680-h510-rw,https://maps.app.goo.gl/d6q9x7d2t2DtwrwW7,,
Lor Sambi Camping Ground,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxTV41A_QI0vzEElv7R71LZ6BHdSIE8FMtUoSlDsrNgzh9soUBe0K_Mz7NRWm6n-iyziLHli0xCgTe2UEarWNOcVESQpuYGj1TpTuDYfCHlYsNjj-Kn76sibBfiiSHZhJRXgoU=s680-w680-h510-rw,https://maps.app.goo.gl/3xULxnePvrYzW41t6,,
Waduk Sermo,https://lh3.googleusercontent.com/p/AF1QipNEvNQ2fHSyldVTX_Mv5TFkRuFW2aNcDDwF6HzK=s680-w680-h510-rw,https://maps.app.goo.gl/VY35FLEKP93CEKKe8,,
Camping ground bukit ngisis,"https://res.klook.com/images/fl_lossy.progressive,q_65/c_fill,w_1080,h_652/w_66,x_12,y_12,g_south_west,l_Klook_water_br_trans_yhcmh3/activities/exhxsfxmetcmumlfua5x/TiketPuncak9BukitNgisisdiKulonProgo.webp",https://maps.app.goo.gl/K7EZNho4gP7cpV6o7,,
Watu Mabur Camp,https://travelspromo.com/wp-content/uploads/2023/10/Camping-Tukang-Andalan.jpg,https://maps.app.goo.gl/akxSRw5yXiBahqCQ7,,
Ngrumput Beach,https://travelspromo.com/wp-content/uploads/2019/10/Pantai-Ngrumput-Gunung-Kidul-arif-sujatmiko-1200x750.jpg,https://maps.app.goo.gl/MAzHCeMtJiWzcVot8,,
Camp Ground Bukit Sikunir,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyCrkvk0otMwQXs2Rc7pyihMTApEEOtSP2yL-10fh2OuTBUUH6gihRARnQRb37JkZfzatBHp3pJc6YBJnqcENFgX2hEeAPatI_uU_BloamrKwXRF3w30S3ghtf7kPVPfWopoq-BNA=s680-w680-h510-rw,https://maps.app.goo.gl/tHrapzErUS6LbVS68,,
Camping mawar,https://nativeindonesia.com/foto/2022/08/city-light-yang-cantik.jpg,https://maps.app.goo.gl/y1k1Zi7D6HCAaccu9,,
Ratan Lurung Basecamp Gedongsongo,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzILz7432dex5UgJM2S2sJDS6iD25bidmnWCccUcX605Y4qm-FGoXNK-V9vs_DvnP-_BC7P_HkwXyrmC8z_jtnfLz_mDIiTGP3HsaUVe-zQAWPFjqJfpOVcSTPqygrFfbaGHlQhEA=s680-w680-h510-rw,https://maps.app.goo.gl/exPnTJH47U3HMnqH6,,
Camp ground puncak ungaran,https://travelspromo.com/wp-content/uploads/2021/02/Gunung-Ungaran-Semarang-1200x900.jpg,https://maps.app.goo.gl/mTXEUH8AVeVtYEj26,,
Telaga Cebong,https://i1.wp.com/kemana-lagi.com/wp-content/uploads/2018/03/1520594908-picsay.jpg?w=600&ssl=1,https://maps.app.goo.gl/zjxwLACnCy5LZHgEA,,
CAUB (Camp Area Umbul Bengkok),https://getlost.id/wp-content/uploads/2022/01/Camp-Area-Umbul-Bengkok.jpg,https://maps.app.goo.gl/9k4TyT7pSCaEhbwv6,,
Camping Ground Pantai Menganti,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwta-Vid5l6ySO6sjVDBITHIW8MDdmhg57zbkpf_GERzNPowKKE5lrO3qyDeUXLTQ1233vV-Nm3OpKZGt4ojzLpZ6EB-ckiMx6BmOvAEWTpSDZkQ5CD1pdzWYDGvolcBiBjly4I=s680-w680-h510-rw,https://maps.app.goo.gl/Kc5Sk5TTEBTS3Z4F8,,
Bukit Camping Menganti Beach,https://ruangcamp.com/uploads/listings/listing_27_1747982911_68301a3f9fd2c.jpg,https://maps.app.goo.gl/UHEjyf92UYXoJA5T8,,
Potrobayan River Camp,https://awsimages.detik.net.id/community/media/visual/2024/05/09/camping-2_169.jpeg?w=600&q=90,https://maps.app.goo.gl/RPk2iuZavtUWZ3B8A,,
Pantai Wohkudu,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxqgqsQ9sW3JVd1c51qAo6nx1K5yNOBBIefVzdvZB3UCgLJfotUwIqhCoX7wSfcywPFJZ7EIvoVKkyjKTJiphsHScP08XdS7ovOiD_GCRp7tfKjuwCnknBw71beoZM-DgrEaqdU_Q=s680-w680-h510-rw,https://maps.app.goo.gl/75djSSyTixtXgkvR9,,
Watu Kodok Beach,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyrSeoE0-NCIZ7b5xSNpzmIGT5Qyxr07vzp9rYOEJq0J7-Mzi45rL-rj9Fag87NmuBVbh3LLlgTX2TRFf_Cdyn-3_rWkJ2Exf4TgGxfkuVgWzxnJV94IYTObnWNL1091iZRjEA72A=s680-w680-h510-rw,https://maps.app.goo.gl/AgdcLhxVKd1xp4sm9,,
Ledok Sambi Ecopark,https://asset.kompas.com/crops/f0YKaHby3_RUheIfdhYwLzp9ZkM=/0x375:2832x2263/750x500/data/photo/2020/12/16/5fd96dab63fa0.jpg,https://maps.app.goo.gl/aq16BDawr1S4HKT58,,
Campground Sekipan,https://asset-2.tribunnews.com/solo/foto/bank/images/bumi-sekipan-di-kecamatan-tawangmangu-kabupaten-karangany.jpg,https://maps.app.goo.gl/W1twPYz2aSSaFRZKA,,
Telaga Dringo,https://magelangekspres.disway.id/upload/cc8cdf6f88c796625c8a045c48d9814d.jpeg,https://maps.app.goo.gl/LydXFga2U725Ken26,,
Bumi Perkemahan Desa Kajar,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyriVVnlwMaHo2CD9EHe3rXzWDXJ9iqlDk7poCKm9O4fSdiTPt5xl7yhvunbIZX_qY8yP2Nun4c3f6fAHk9vOCpiv1t_ZdQ9hAvSLRuWprbw2r17fTH3WdmwicGrTyIT2mfD86_Yw=s680-w680-h510-rw,https://maps.app.goo.gl/MNXZcoaxzLnQisnc7,,
Camping ground Karimunjawa,https://wisatakarimunjawa.co.id/wp-content/uploads/2023/08/Camping-Ground-Karimunjawa.jpg,https://maps.app.goo.gl/uAxaVbmkPWd6XjBf8,,
